Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
19/05/1900,57.76,57.76,57.76,57.76
20/05/1900,57.76,57.76,57.76,57.76
21/05/1900,57.4,57.4,57.4,57.4
22/05/1900,58.1,58.1,58.1,58.1
23/05/1900,58.35,58.35,58.35,58.35
24/05/1900,57.51,57.51,57.51,57.51
25/05/1900,57.26,57.26,57.26,57.26
26/05/1900,57.26,57.26,57.26,57.26
27/05/1900,57.26,57.26,57.26,57.26
28/05/1900,57.67,57.67,57.67,57.67
29/05/1900,58.01,58.01,58.01,58.01
30/05/1900,58.01,58.01,58.01,58.01
31/05/1900,59.1,59.1,59.1,59.1
01/06/1900,59.38,59.38,59.38,59.38
02/06/1900,59.38,59.38,59.38,59.38
03/06/1900,59.38,59.38,59.38,59.38
04/06/1900,57.97,57.97,57.97,57.97
05/06/1900,57.48,57.48,57.48,57.48
06/06/1900,56.98,56.98,56.98,56.98
07/06/1900,57.56,57.56,57.56,57.56
08/06/1900,56.62,56.62,56.62,56.62
09/06/1900,56.62,56.62,56.62,56.62
10/06/1900,56.62,56.62,56.62,56.62
11/06/1900,56.03,56.03,56.03,56.03
12/06/1900,56.15,56.15,56.15,56.15
13/06/1900,57.12,57.12,57.12,57.12
14/06/1900,56.51,56.51,56.51,56.51
15/06/1900,56.17,56.17,56.17,56.17
16/06/1900,56.17,56.17,56.17,56.17
17/06/1900,56.17,56.17,56.17,56.17
18/06/1900,54.96,54.96,54.96,54.96
19/06/1900,55.08,55.08,55.08,55.08
20/06/1900,54.39,54.39,54.39,54.39
21/06/1900,54.65,54.65,54.65,54.65
22/06/1900,54.11,54.11,54.11,54.11
23/06/1900,54.11,54.11,54.11,54.11
24/06/1900,54.11,54.11,54.11,54.11
25/06/1900,53.68,53.68,53.68,53.68
26/06/1900,54,54,54,54
27/06/1900,54.11,54.11,54.11,54.11
28/06/1900,54.75,54.75,54.75,54.75
29/06/1900,54.83,54.83,54.83,54.83
30/06/1900,54.83,54.83,54.83,54.83
01/07/1900,54.83,54.83,54.83,54.83
02/07/1900,55.48,55.48,55.48,55.48
03/07/1900,55.67,55.67,55.67,55.67
04/07/1900,55.67,55.67,55.67,55.67
05/07/1900,56.51,56.51,56.51,56.51
06/07/1900,56.13,56.13,56.13,56.13
07/07/1900,56.13,56.13,56.13,56.13
08/07/1900,56.13,56.13,56.13,56.13
09/07/1900,55.76,55.76,55.76,55.76
10/07/1900,56.91,56.91,56.91,56.91
11/07/1900,56.77,56.77,56.77,56.77
12/07/1900,56.71,56.71,56.71,56.71
13/07/1900,55.98,55.98,55.98,55.98
14/07/1900,55.98,55.98,55.98,55.98
15/07/1900,55.98,55.98,55.98,55.98
16/07/1900,56.22,56.22,56.22,56.22
